place,stars,name,text,label
Paragon Shopping Centre,5,Pegasios Petrou,"Nice, clean, tidy mall, with all sorts of shops. On the left side there are more high-end shops, on the right side, the rest. On the top floor there is a kids playground area, and a Toys R Us overlooking it.
Various coffee shops also located in the mall (as well as restaurants) in the well air-conditioned areas.
There is a local supermarket at the basement floors, as well as restaurants to choose from.
Definitely recommend it, as the A/C, free WIFI and nice shops are very attractive to resist!",feedback
Paragon Shopping Centre,4,Richard A Francisco,Paragon is an upmarket shopping mall with high end designer brands as well as fine watches and jewellery and even art! They also have restaurants and cafes here. This place isn't really big but it makes up for it with the variety of shopping choices inside. There's a clinic here and Mount Elizabeth hospital is just at the back of the building,feedback
Paragon Shopping Centre,5,Elle,"one of our favourite malls that has delicious food, a large variety of shops, and seasonal exhibitions! some of our favourite places to eat here are halcyon and crane and old seng choong! there are a large range of shops from luxury brands to more affordable shops like metro. the staff are generally quite friendly as well! this mall is spacious and has a logical and easy layout. we would definitely recommend coming here for a quick break from shopping in orchard!",feedback
Paragon Shopping Centre,5,FrauAM M,"There was a event today! The art gallery shown was amazing, super lovely",feedback
Paragon Shopping Centre,5,Abhinna Nayak,"One of the best and costly mall in Singapore. All branded clothing stores, toy stores , watch stores, shoes stores available. High quality with high prices. Beside that many Chinese food stalls available. Really I like this. Superb mall.",feedback
Paragon Shopping Centre,4,FrÃ©dÃ©ric Borgognon,"Paragon shopping centre is a luxury mall located on famous Orchard Road (easy access by bus or SMRT).
There are approx 200 stores with famous international brands like Tod's, Prada, Jimmy Choo, Burberry.or Gucci. Nice decoration.
Lot of cafÃ© to brunch or just drink something on every floor.
On the basement, there is a food court and supermarket.
In Paragon you can eat for moderate price or to high end price. There is also a Michelin star restaurant called ""Crystal Jade Golden Palace"". Also a fitness first on the 8th floor opened every day.
Very busy the weekend but very nice place to chill out.",feedback
Paragon Shopping Centre,5,Paul Leach,"By far my favourite shopping mall in Singapore. Well laid out with a great selection of high quality shops.
Less flashy than ION but a much more enjoyable experience overall.
Never feels overcrowded even during the holiday season.",feedback
Paragon Shopping Centre,5,Florence Leow,"Paragon Mall
290 Orchard Rd, Singapore 238859

 The Paragon is an upscale shopping complex located in the heart of Orchard Road area in Singapore.

âœ³ï¸ It has 6 floors of shopping and is connected to Paragon Medical Centre.

â— There is a food hall & supermarket at B1 level.",feedback
Paragon Shopping Centre,5,Hui zhao (Zoe),"The small playground on the 5th floor is very nice, clean and free. Kids love it. We can easily spend half hour here with kids and get a rest for parents",feedback
Paragon Shopping Centre,5,Beary Beary,"One of the Most Successful Malls

This mall has been a strong Orchard Road shopping attraction since the day it opened.  Positioned as a high end mall, it still offers options for everyone. It has an excellent mix of retailers, a large department store, supermarket and many coffeshops and  restaurants.",feedback
Paragon Shopping Centre,5,tomyumdumpling,"Visited Paragon to grab a snack. We were delighted to hear the lion dance sounds and performance. It turns out that Lancome is having a pop event during this lunar new year period. Paragon is a nice air conditioned mall with many luxury brands. There is also a good variety of food located at the basement floor.
Upon leaving, there are also 2 fluffy looking dogs that surprised us!",feedback
Paragon Shopping Centre,5,Judith Loh,"Love the location. Accessible to all the good brands The energy there is fantastic. Driving out of the carpark can be a torment though as it is franking a heavily used road. However, sometimes there are traffic warden to block traffic so that patrons of the mall can get out easily.",feedback
Paragon Shopping Centre,5,C G,"Paragon Shopping Centre in Singapore is a luxurious destination that offers a premium shopping experience. ï¸ As a traveler, stepping into Paragon is like entering a haven of high-end brands and sophisticated ambiance. The mall is impeccably clean and well-organized, making it a pleasure to explore each level.

The variety of stores at Paragon is impressive, catering to every taste and style. From international luxury brands like Gucci and Prada to local boutiques, thereâ€™s something for everyone.  I was particularly impressed with the wide selection of designer fashion, accessories, and jewelry. The attentive and friendly staff in each store made my shopping experience even more enjoyable.

Dining at Paragon is equally delightful, with an array of restaurants and cafes offering diverse culinary experiences. ï¸ I indulged in delicious meals at some of the finest eateries, from gourmet Western dishes to authentic Asian cuisine. The food court also offers a fantastic range of affordable and tasty options.

Paragonâ€™s location on Orchard Road makes it incredibly convenient for tourists.  Itâ€™s easily accessible by public transport and is surrounded by other popular shopping spots. After a day of shopping, I appreciated the mall's serene atmosphere and comfortable seating areas where I could relax and people-watch. Paragon Shopping Centre is undoubtedly a must-visit for any shopaholic visiting Singapore.",feedback
Paragon Shopping Centre,5,Kevin Tan,"Nice upmarket mall in orchard road. Lots of dining options. Building is also home to a variety of specialist clinics at the higher levels. At the lower levels, the mall offers a variety of F&B and retail options. There are many cafes and restaurants too. There is also a supermarket and pharmacy in the basement. Metro departmental store takes up three levels here, just under toys r us, which is located at the fifth level.",feedback
Paragon Shopping Centre,5,Ju J,Mall for Luxury Goods. Combined with medical clinics on higher levels. Atrium with Christmas items for sale during festive period,feedback
Paragon Shopping Centre,5,amir hossain ripon,"Nice shopping mall
Have luxury all brand
Clean / Toilets and wash room available.
B1 have Restaurant / copi shop/ cold storage/ Harbal shop etc
Have medical centre / car parking",feedback
Paragon Shopping Centre,5,Yuan Li,They updated membership reward app so when earned points can use it as cash. Much easier than before,feedback
Paragon Shopping Centre,5,S L,"Went to Paragon not for shopping but to their medical tower. Was referred to Caring Hands Physiotherapy by the Ortho Doctor. All the staff are friendly and helpful especially the Physiotherapist herself, very patient and provided expert advice and guidance on how to build knee muscle.",feedback
Paragon Shopping Centre,4,Cindy Sim,"PS cafe  .  . .good food, worthy of the bill.",feedback
Paragon Shopping Centre,5,Ak,"The shopping mall is not so modern looking or feeling in 2020, but the selections of the stores in this shopping mall is really great. Under Armour, Nike, Adidas, Planet Traveller, North Face, Bose, and so many other stores here!!!",feedback
Paragon Shopping Centre,5,Din Neo,"This is a busy mall with many shops, eateries, supermarket and many others. Very nice Mall with a mixture of branded boutiques. Paragon is located just beside Rolex building and opposite Ngee Ann City.",feedback
Paragon Shopping Centre,5,Marklin Ho,"An opulence of peace, quiet and decorum is brought to life here 

I love the atmosphere of this shopping mall because people here seem to be more well-mannered and cordial  less uncouth behaviour like the lazy dragging of shoes / slippers when walking and none of that barbaric â€œschatum schatumâ€ sound when chewing food. Of course, nothing wrong with that if you have such habits as all are born and brought up differently.

Plenty of malls with more relaxed demeanour and bustling with noise which is fine to immerse myself in once a while. However, I prefer peace and quiet if I have the choice and Paragon is highly recommended if you live or work nearby â¤ï¸ or like me, prefer an environment which oozes out such a prized commodity (peace and quiet) in Singapore with ease.",feedback
Paragon Shopping Centre,4,sam Mariella,"PARAGON had been renovated and face-lift   as we see it today.  The facade is beautiful, there is a sense of spacious, be it you stand outside at the entrance, or when you walk first time inside.

It is not the biggest in orchard, probably stood as the medium size with several world  class boutiques.

At basement, there are midi supermarket. ( Cold storage), restorants ( Ding Tai Fung, LA shrimp, Soup, etc) cafes and booths. I like to stroll at basement. Crystal Jade is at 5 FL.

They have a 20 floor medical clinic tower / centre at the back side if you happen visiting doctor.

Paragon can be reached from Orchard MRT Station or Somerset station. Taxi stand is at the side road ( Bideford road).",feedback
Paragon Shopping Centre,4,kishore raga,A huge mall with multiple designer stores supermarket food courts and several juice bars. A pleasant environment and adequate to stroll about if one is wanting to pass the time in a fully air conditioned mall.,feedback
Paragon Shopping Centre,5,Theivendiram Pranavan,"This mall has a variety of stores. A good number of toy shops for children can be found here. In addition, there are many restaurants.",feedback
Paragon Shopping Centre,5,Steve Capeness,"Amazing high end shopping in Singapore. High energy place, lots of buzz. But prices a bit hot compated to Australia.",feedback
Paragon Shopping Centre,4,Daniel Sin,"This mall house plenty of top brand boutique on ground floor. There is Metro, Marks and Spencer, Muji and many. Interesting they also have medical clinic in this building too. Should also explore the basement for more eateries.",feedback
Paragon Shopping Centre,5,Glenn Wong,"One of the best malls in Orchard. Always smell refreshing and very spacious to shop around. Parking can be expensive and crowded but pleasant to use. There is parking coupons for $20 spent on weekdays after 6pm. Also very family oriented with level 4 dedicated to children shops. 3rd level is where all the sports shops are, while level 1 and 2 are the branded goods. Basement is where all the nice eateries are. The higher floors also contain medical practices where the local and foreigners, especially Indonesians come to.",feedback
Paragon Shopping Centre,5,á€‡á€±á€šá€»á€¬ á€á€„á€ºá€·á€á€±,"This six story shopping center is occupied by upscale retail shops and restaurants. Relatively quite, more public spaces and not too crowded as other malls near by.",feedback
Paragon Shopping Centre,4,Faisal,"Nice mall with like 4 floors
There are good numbers of brands here like Prada and others",feedback
Paragon Shopping Centre,5,Choong Huei Seow,"The remodeled and expanded Paragon Mall offers many more food and beverage choices, from Din Tai Fung at the basement level to Sushi Tei on the upper floor. Young toddlers and children always look forward to using the play area located on the top floor of the main Mall building. Parents, remember to bring your child a pair of clean socks!",feedback
Paragon Shopping Centre,5,Jo G. (Jonae),"Nice shopping place. A lot of branded store from Jimmy choo, versace to sports brand like nike adidas underarmour and Puma. There's a lot of brand to choose from. Food varies as well. There's also spa at the top floor. Good place to buy watches as well as there are a lot of watch store. You go here to shop. I just noticed, there are very rare items for sale. A nice shopping center.",feedback
Paragon Shopping Centre,5,Dee Dee,One of my favorite shopping malls in Singapore. Good place for meetings with friends. Have many restaurant in downstairs and coffe shop in outside just opposite The Grand Park Orchard Hotel,feedback
Paragon Shopping Centre,5,Sushiliah Devi,Lunch at Sopho Paragon at Orchard Road was just amazing. We had a hot pot of chicken soup with rice and fried chicken wings. The food was sumptuous. The price is quite reasonable.,feedback
Paragon Shopping Centre,5,shabii arif,"Luxury shoppers paradise on earth in Singapore. The best way I can say
Orchard Road is totally dedicated to luxe international brands like gucci, fendi, armani, dkny, chanel, versace, moschino,
There are few malls like ION MALL, LUCKY PLAZA, PARAGON PLAZA, ROBINSON etc and few other.
Over here you can get things for as cheap as 2dollars like stationery or Rolex watches for as high as lac of dollors.
Every mall has multiple levels dedicated for food, clothing, stationery, make up, shoes, electronic, sovaniors, choclates, dried fruits etc.
I brought cosmetics from my favourite brand sephora make up range of benefit and mist and body cream from Victoria secrets at a steal deal.
Over here you can find mc donald or KFC and Starbucks. (comfort food and coffee for many Indian s and foreigners)",feedback
Paragon Shopping Centre,5,andy1122,"Visited GLENHILLâ€™s Ladies Apparel located at Metro Paragon Dept Store, 290 Orchard Rd, #02-28 Paragon.
Greatly impressed and fascinated by GLENHILLâ€™s brand ladies fashion.
GLENHILL is a range of ladies contemporary fashion apparel located in the heart of Orchard. Namely Metro Paragon, OG People's Park, OG Albert Park. It caters to professional including Bank and Office executive, Lawyers, MP and Ministers. The Apparel emphasise on good European fabrication, cutting and quality control. Consult GLENHILL promoters to attend to your needs and be flattered with new range of collections always...
Highly recommend ladies to visit GLENHILL especially for the working class ",feedback
Paragon Shopping Centre,5,Fred C.,High-end Shopping Mall situated in Orchard road. Always a nice experience to shop here. With good variety of F&B options in the basement.,feedback
Paragon Shopping Centre,5,Yoong Daren,"Paragon Shopping Centre is an upscale shopping mall at Orchard Road. Itâ€™s usually not crowded here and has a free indoor playground for kids at Level 5 (next to Crystal Jade Golden Palace Restaurant). Many high-end boutiques here and good dining options including Din Tai Fung, Crystal Jade, and PS Cafe. My family comes to this mall most weekends because our daughter enjoys the kids playground, as well as visiting Toys R Us.",feedback
Paragon Shopping Centre,5,daphy tan,"when i came to the paragon,   i saw this metro shop. its was a vintage brand shop metro, yet and its only left two in singapore, selling the vintage products..  and yet metro is vintage shop in singapore, back in the old days!    that you can't really find in other shop.. you can check it out..  cheers! ",feedback
Paragon Shopping Centre,5,Nabil Basaad,"A sophisticated mall on Orchard Road, known for its high-end luxury brands and upscale shopping experience. The mall offers a mix of fashion, beauty, and lifestyle stores, as well as a variety of dining options. With its clean, elegant design and a more relaxed atmosphere compared to other malls, Paragon is perfect for those seeking a premium shopping experience in the heart of Singapore.",feedback
Paragon Shopping Centre,4,Pui Yee Lee,"A decent shopping centre, a bit old but maintained good.",feedback
Paragon Shopping Centre,3,W8ll8AM S8M,"Mostly branded stuff and some nice restaurants & cafe . Mostly for the rich from home and oversea as near Mount Elizabeth Hospital & Paragon Hospital when they came for thier yearly , monthly check up , etc . Just my own opinion only",feedback
Paragon Shopping Centre,5,Senore World,"I love visiting This mall
Every mall in Singapore is just so amazing
But I was able to get basically everything i needed on my trip from this mall",feedback
Paragon Shopping Centre,4,Benny Super Shiok Food,"Nice Elegant Shopping Mall Best Food Especially Best Indonesian Restaurant  (Tambuah Mas)in Basement , Other Japanese Restaurant, Chinese Restaurant many others as well.Plentiful Branded Clothing, Shoe,Perfume, Accessories, Bags in the Heart if Orchard Road",feedback
Paragon Shopping Centre,5,Hiro K,Amazing shopping mall in the orchard area. All thingsâ€™ ready here including food options,feedback
Paragon Shopping Centre,5,Lester Chua,One of the BEST 5 Malls in Singapore Orchard Road. ,feedback
Paragon Shopping Centre,5,Amol Sethi,Great place to shop and eat! The mall has a play area for children which keeps them busy. Plus a huge toy store.. so everyoneâ€™s happy to shop here. Thereâ€™s some great eating joints.,feedback
Paragon Shopping Centre,5,Dave Journey,Great place to shop. Less crowded than the usual shopping mall as it has more exclusive brands and shops.,feedback
Paragon Shopping Centre,5,BCChua,"Paragon Mall !
5 mins walk from Orchard MRT
A lot of branded staff is in this mall
Such as Gucci, Long Champ, Coach, Emprorio Armani, Montblanc , MCM, ETRO, BRUNELLO CUCINELLI, Calvin Klein, LOEWE, Burberry, Givenchy.
Enjoy !",feedback
Paragon Shopping Centre,5,Baru View,"Very modern entrance mall! During the visit, Christmas Tree was decorated very well outside inside.",feedback
Paragon Shopping Centre,5,Yingying,"One of the popular shopping malls located in Orchard. The mall is beautiful. The shops are selling luxurious items. So if that is not your type of item to look at, perhaps just drop by for 30mins - 1hr if you are nearby.",feedback
Paragon Shopping Centre,5,Lily Dawis,"One of my fave malls in Singapore. Always evolving, it is not as crowded as Ngee An City/Ion Orchard/Wisma Atria, yet it serves the basics to luxury needs very well. Well curated items at the Cold Storage, great mix of restaurants and boutiques for mid range to high budget shoppers, the mall has managed to keep its position as a leader. Upper level has great mix of beauty parlors as well as lovely amusements for kids.",feedback
Paragon Shopping Centre,5,Lee Joey,Visited Kanada-Ya Ramen at Paragon and enjoyed the zen vibe of the place. Very comfortable place to enjoy a good bowl of Ramen.,feedback
Paragon Shopping Centre,5,hero phine,"Beautiful upscale shopping on Orchard Road. several dining alternatives. On the higher levels of the building, a number of specialty clinics are located. The mall has a variety of F&B and retail options on its lower levels.",feedback
Paragon Shopping Centre,5,Kingronrobin,"Very clean and luxurious mall. Located at the heart of Singapore (Orchard Central), Paragon Shopping Mall mostly offer a wide range of luxe clothing, furniture brands and many more!",feedback
Paragon Shopping Centre,5,Steven Tan,"It has so many good stores and restaurants. The place is clean, and the shopping experience is always nice. I come here often because it has everything I need in one spot.",feedback
Paragon Shopping Centre,4,Sam Wendy,"I like the food varieties in the basement. Visited the Colonial Signature Cuisine n love their food  platter, like going for high tea...  Chendol very nice ",feedback
Paragon Shopping Centre,5,Elyse Afandi,"When I was younger, my dad would take me here and I would play in the playground and afterwards, he would buy me clothes to wear or toys or food. When I revisited it alone, it was so nostalgic and I just wished my dad was here wif me",feedback
Paragon Shopping Centre,5,Jeanne Herawati,"Jo malone london pop up booth at Paragon mall, in front of prada. And huge christmas tree and everytime always have new decoration, intresting!",feedback
Paragon Shopping Centre,4,die pretty,It is a very big and beautiful shopping mall and is incredibly crowded. Would like if there were more directories.,feedback
Paragon Shopping Centre,5,David Tan,Nice supermarket at Basement 1. Good selection of restaurants and eateries,feedback
Paragon Shopping Centre,5,Ferhan Feroze,"Paragon Mall is a premier shopping destination in Singapore, located on Orchard Road.

Lots of F&B / Cafe in basement.",feedback
Paragon Shopping Centre,5,Mike D,"Great mall with lots of lovely shops, especially kids shops and coffee shops for the adults",feedback
Paragon Shopping Centre,5,Wilson Chang,"High-end shopping mall with medical suites and office complex, located in the heart of Orchard Road.

Good mix of retail boutiques and restaurants plus basement food court.",feedback
Paragon Shopping Centre,1,Ng Chung,"We brought our kids four times to Paragon as they really wanted to play the new playground that they recently upgraded but all 4 times, it was closed. Very disappointing and frustrating as they do not state when the playground are open or closed.

Four times that we were there, we saw many disappointed kids and angry parents around the playground.

Perhaps, Paragon being an upscale shopping mall could at the very least provide the operating hours on the website and outside the playground so as to avoid more kids being disappointed .",feedback
Paragon Shopping Centre,5,Anne Cher,"Really Huge mall. Amazing decorations, the christmas tree is beautiful. Air-cons really strong here. Lots of Branded Goods stores. Easily my favorite mall in singapore",feedback
Paragon Shopping Centre,5,Norain Noordin,One of our favourite malls at Orchard Road as it has Toys R Us in it. Abundant of restaurants here too and it included halal choices. Great mall for families. We will be back.,feedback
Paragon Shopping Centre,4,Helio Ciffoni,"A not so crowded mall along Orchard. Fashion shops, the best brands. Services like M1 telecom services are less crowded here. The restaurants area  has great attractions for fast food, casual meals and even more sophisticated offers. Something far from the MRT but easy to get a taxi.",feedback
Paragon Shopping Centre,5,Dr. Hetty Vosselman,A lot of different types of shopping and F&B. Very central in Orchard Road!,feedback
Paragon Shopping Centre,5,H2 O,Directly opposite Ngee Ann City walking distance covered pathway underground to Orchard MRT Conveniently located at neighbourhood of luxurious hotels resorts restaurants and shopping. Enjoy shopping with Prada Gucci Ermenegildo Zegna Burberry Givenchy Jimmy Choo Lowwe products to name a few. Then walk acrose to Paul Bakery for relaxing high tea away from busy cityscapes. Freshly prepared food with healthy ingredients tender loving skillful cooking and warm services. Friendly cosy comfy welcoming ambience for romantic intimates groups students expats locals visitors and families.,feedback
Paragon Shopping Centre,5,Jay S,More high end item can be found here. Well maintained mall,feedback
Paragon Shopping Centre,3,janet ong,"Great Location. Pretty nice tenant mix. Clean toilets. However, it looks so dated. Getting out of the car park is really a nightmare. Almost always, there is a jam getting out of the carpark.",feedback
Paragon Shopping Centre,5,Mark Greaves,Nice shopping mall. Lots of food options as well as luxury shopping. Lots of parking but can be expensive.,feedback
Paragon Shopping Centre,5,June,Love this mall! Has a free indoor playground with seats available for caregivers.,feedback
Paragon Shopping Centre,4,Rama Kumar,"Good shopping mall with lot of brands, interior beautiful located orchard road. Good for luxurious shopping ",feedback
Paragon Shopping Centre,4,Cherie May (CM LI),"Look around.
Walk around.
Had fun.

We ate at their food court.
And enjoyed!
",feedback
Paragon Shopping Centre,5,Della W. (Della),"One of the mall i visited the most espc if i have appointments at MEH Orchard and or Paragon Medical, customer service are so helpful. I once lost my phone here, they have been realllyyyy helpful to help me finding back my phone",feedback
Paragon Shopping Centre,5,Tima,Beautiful mall. High end shopping. Neat and clean.,feedback
Paragon Shopping Centre,4,Wayan Meila,"Paragon Shopping Mall offers a lot of brands variety, even though most of them are international brands but you can enjoy the atmosphere of shopping here because some of them quite affordable. Their interior is enjoyable with tall ceiling, wide open space and marbles. Love the atmosphere inside, not too crowded and you can explore bit freely.",feedback
Paragon Shopping Centre,5,cse1217,"Paragon is one the my favourite hangouts because it's very quiet and has many great brands inside.

There's free WiFi in Paragon.

Families with young child love to go paragon for their indoor playground as well as doing shopping for their clothes.

There's also bookstore, high end retail brands, many cafes and restaurants, music school.

Some well known brands include Prada, Gucci, Tod's, Metro, Muji, Toy 'R' Us, Fitness First, etc

At certain period, there are free musical performances at paragon that I enjoy listening at.

I also performed a musical performance in paragon. It is known for giving a sense of elegance in it.

#ILoveParagon",feedback
Paragon Shopping Centre,5,Karunakar Singh,"This is one of good shopping mall,
All kind of facilities and biggest brands available on one place",feedback
Paragon Shopping Centre,5,Mara Banson,"Paragon has great food options in basement 1 - if you're craving something fancy or just a good sandwich, soup and pasta. Must try Tiger Sugar milk tea too! If you have kids, there's a playground at level 5 which is so convenient since you can do this in the comfort of aircon while it's scorching hot outside.",feedback
Paragon Shopping Centre,5,Marwan Mz (MMYZ),"One of the very few malls in Singapore
Quite
Clean
Good vibes
Many brands high and normal
The supermarket and the food area is crazily huge and everything is there

Highly suggest it",feedback
Paragon Shopping Centre,5,Soo Hin Yeoh,"Christmas is the most beautiful time of the year to shop at Orchard with every mall competing to show their best decorations.

Good old mall with luxury brands on Orchard that has been around since the 1990s. Sadly, like most Orchard Shopping Malls, it is losing its share of wallet to Shoppes at Marina Bay Sands.

Although not connected to any MRT, its location remain accessible just opposite Takashimaya. Itâ€™s range of restaurants and cafes has significantly improved and is now a great place to hang out.",feedback
Paragon Shopping Centre,4,Wong Francis,"This is small compare to the one in Bangkok,  but has a nice and luxurious feel to it. It's still spacious enough for comfortable browsing. This place caters to the middle upper class shoppers.",feedback
Paragon Shopping Centre,5,Kyle Mariah Chelsea Bulut-Cunan (Kyle),"A kid friendly mall! 5th floor has clothes and shops for your kidsâ€™ needs. It also has an indoor playground and some rides for your lil ones. Really appreciate the nursing and diaper changing rooms here, too.",feedback
Paragon Shopping Centre,4,MOHAMMAD NURULLAH,Huge collections of everything what you have needs. There is metro shopping mall and many famous brands of clothes shoes perfume cosmetics etc.,feedback
Hotel Calmo Bugis,1,Thao Thanh,"Terrible Experience â€“ Do Not Recommend

I stayed 3 nights at Hotel Calmo Bugis and the service was unacceptable. Housekeeping was only done if we specifically asked, the bathroom smelled terrible, and dirty towels and trash were never cleared. When I asked for fresh towels and water, the receptionist said I had to request cleaning, which was never told to us before.

At checkout, they unfairly deducted 10 SGD from my deposit, showing only a photo of a â€œdirty towelâ€ without letting me verify in person. This was dishonest and unreasonable.

Very poor service, hidden policies, and unprofessional staff. I will never stay here again.",feedback
Hotel Calmo Bugis,,Trip.com Member,The apartment is too small and the receptionist took the deposit of USD 100 which she wanted to forfeit by showing old stain of bedsheet. However the manager shabana and cleaner lady acknowledged that this was old stain and they refunded the money. The attitude issue of staff needs to be polished.  Rest is absolutely fine with good beds and washroom. Near to bugies street MRT,feedback
Hotel Calmo Bugis,,Trip.com Member,"My friends from Indonesia came to visit me.. read reviews look like not so bad hotel(I have strong feelings they are paid to post fake reviews)â€¦ and in the end.. the night mare beginsâ€¦ 1) I request for early check-in around 1.30pmâ€¦ they donâ€™t acceptâ€¦ but call us to pay if neededâ€¦and their check out time is 11am next dayâ€¦2. The room stated 22m sqâ€¦ but actually smaller than thatâ€¦ I stay in Indonesia 18m sq room are bigger than theirsâ€¦3. The bathroom hanger for towel damage but no replaceâ€¦(no wonder they asked for $100 deposit , if those no complain later they check the room when you check out, they may be confiscate the deposit) â€¦the water pressure are lowâ€¦ the towel are dirtyâ€¦4. The bedsheets are not changedâ€¦ there are lumps of hair in the beds before useâ€¦ no housekeeping to help you change when requestedâ€¦ so my friends requested new bedsheets and they changed themselvesâ€¦ So we warned if you want to stay in this hotelâ€¦ stay at your own riskâ€¦ in Indonesia this is not hotel but justt a Wismaâ€¦ for couples use for short timeâ€¦ that was why they never clean the room or Change the bedsheetsâ€¦I have pictures and videos of the hairâ€¦ but in the other phone which my friends share the condition with meâ€¦.",feedback
